ppt_69,ppt_85,ppt_101,ppt_117,ppt_133,ppt_149,ppt_165,ppt_181,ppt_197,ppt_213,ppt_229,ppt_245,ppt_261,ppt_277,tmax_69,tmax_85,tmax_101,tmax_117,tmax_133,tmax_149,tmax_165,tmax_181,tmax_197,tmax_213,tmax_229,tmax_245,tmax_261,tmax_277,EVI_69,EVI_85,EVI_101,EVI_117,EVI_133,EVI_149,EVI_165,EVI_181,EVI_197,EVI_213,EVI_229,EVI_245,EVI_261,EVI_277,yield
19.76303987,33.10975439,37.8771132,56.84357095,53.42750584,77.26008251,53.81368172,45.45146591,2.564632449,27.20280506,37.81394033,58.22070431,1.949312778,6.963994324,25.71924986,29.39745646,28.39431576,28.45639659,30.06649259,30.52883358,31.85607985,32.10351451,34.48049983,32.96433202,34.42287608,30.09275342,32.93804579,31.21521143,0.175747075,0.193590983,0.236420365,0.27438468,0.333475961,0.451909869,0.538731681,0.622828109,0.63315283,0.569624569,0.466693457,0.379787312,0.295430814,0.21932666,189.5
27.80494651,32.21340352,29.07294237,103.6292537,34.57840152,53.5006678,37.97655782,43.87359218,27.90809504,12.63107663,30.65681448,40.78015909,0.075079832,2.008341026,25.36712822,28.09896521,27.84971146,27.76555678,29.8492836,30.78334036,31.9619781,32.79098869,34.4411309,32.35915214,34.36500192,29.4198049,33.28006695,31.14054612,0.182146375,0.207018807,0.234436991,0.238710245,0.287586035,0.365599775,0.451065346,0.562808318,0.605248182,0.603367332,0.556318436,0.47176311,0.361108225,0.247527253,187.6
46.54738462,37.73465235,21.31392273,81.54551686,30.58044654,33.26562187,37.23947899,43.38887476,15.31218681,30.26367961,25.78629773,67.87132035,5.01042506,19.77854478,25.54646363,26.14517447,29.65648655,28.50648163,30.57965686,31.03672156,33.31063471,32.01951068,34.93357493,32.67074028,33.55136904,29.12730761,32.93940235,31.46138946,0.180761618,0.201368928,0.196567316,0.180753826,0.192637429,0.244184743,0.341180807,0.503712646,0.603118838,0.649141209,0.632460264,0.535134295,0.388603039,0.247455918,163.6
24.73306565,34.02687095,21.05366315,79.60679277,38.51683957,48.99274087,49.96354772,45.43753928,11.31647351,19.32801059,21.27424483,58.95162606,1.080977378,7.182696147,25.4272757,27.95974992,28.36651372,27.83533619,30.20430591,30.60307444,31.89544811,32.44887819,34.88895132,32.40804601,34.65804219,29.24790309,33.42139222,31.2928269,0.201934847,0.232496557,0.275787366,0.279981087,0.316576158,0.396356537,0.454551691,0.560710869,0.594424744,0.578978733,0.533841059,0.45595152,0.359494603,0.268476369,182.1
20.24265319,32.77910065,16.15550481,62.23904138,41.05422018,65.56217576,74.34993435,28.000284,9.004067683,31.51446122,23.2936081,81.15994268,4.557186525,12.07727414,25.42252521,28.63956642,28.92857827,28.81621298,30.53294564,30.76643584,32.14757905,32.21275362,34.93129892,32.6831548,34.7902379,29.55845672,33.41103082,31.48245704,0.198139917,0.198385838,0.219787891,0.245883376,0.30101763,0.461079082,0.575957445,0.668156721,0.655033371,0.582500143,0.453392522,0.332377125,0.270220502,0.231164506,172.1
38.99645862,38.22048857,20.61098837,117.6745162,30.42563851,37.22854221,30.81753582,34.73396159,12.49594242,29.49850516,33.13444949,68.40832701,3.51235206,3.12834654,25.3827736,26.11555495,29.49944335,28.58677013,30.07169606,30.78661372,32.98433678,32.37465136,35.02229734,32.85004481,33.95600208,29.42262314,33.71585004,31.37185256,0.164550898,0.185272691,0.190872265,0.177388754,0.21129117,0.289584152,0.39609044,0.548253629,0.624907526,0.647301164,0.621940762,0.503146072,0.369172917,0.240674579,195.4
35.26049164,50.5067803,32.28006534,118.5249076,38.54411714,45.64499736,29.97443609,43.79236567,13.64150814,32.27521051,13.9068458,10.34307263,3.251295578,12.48363756,26.26652613,24.87994929,29.06882945,28.76462925,29.88357168,30.61581842,32.83888898,32.57247456,35.12895273,31.929758,33.04799731,30.12248122,33.67374138,31.04498179,0.162873332,0.186410022,0.198916691,0.158540968,0.190174407,0.256851479,0.312519554,0.440366928,0.537520149,0.586490679,0.621188817,0.535702112,0.423227891,0.265230826,181.8
28.49547503,29.59272155,23.51393354,75.68026558,37.29072127,51.76606723,49.10277651,42.87980633,12.42088025,24.09143894,24.35303629,70.35579695,3.218699947,10.23050373,25.64216728,27.16850543,29.24780852,28.67036184,30.22267543,30.79461439,32.43323568,32.21745459,34.99942785,32.99739994,34.51161907,29.30290786,33.63236643,31.28342007,0.179731779,0.196884689,0.220828188,0.239712259,0.27650448,0.341654501,0.428689226,0.565720091,0.629277849,0.642735246,0.60159734,0.502255223,0.365832311,0.251587326,183.4
32.95278282,33.3945746,20.98409216,123.7015761,37.37209919,61.51803047,44.91708811,44.87710253,8.924015573,29.32031823,38.15557873,30.05166899,1.785121863,4.634011002,25.84029875,26.82948984,28.46382123,28.20903824,29.78721691,30.69708093,32.30260869,32.97024199,35.20589123,32.98067223,34.85761335,29.68315765,33.67263389,31.16962384,0.196256249,0.228992614,0.282236439,0.2784199,0.29576593,0.323488927,0.355776495,0.433894095,0.47950043,0.515541286,0.524596453,0.48172134,0.40682361,0.309350411,203.2
35.61784974,37.19905468,22.91563686,134.0387977,34.98724236,46.16240321,36.94154303,53.61618266,8.76658723,35.12117189,29.10683021,78.14123899,2.680850507,6.913042181,25.75311677,26.64665004,28.68928973,28.3249878,29.76353637,30.50717532,32.28782277,32.64332377,34.97361897,32.80920799,34.46370623,29.37037921,33.70223276,31.19174006,0.195172452,0.229360441,0.261087877,0.242626525,0.272679269,0.328641586,0.399729626,0.504386095,0.560364453,0.591395652,0.59602959,0.514883254,0.411071278,0.282550206,177.4
