CowMtotal,YieldMean,DurationMean,AMFsum,F60.120Sum,PMF60sSum,PMF30sSum,MaxSum,TurnMax,Lag,Quartile
25,20.393680000000003,282.0,113.94163814661992,148.11400000000003,156.88899999999998,158.859,162.57,143.64,2,3
30,19.89025,259.8,141.51237410185047,183.3665,191.507,194.476,200.64,166.92,2,3
32,20.709328125,270.5625,149.87349674262754,191.455,201.171,204.132,209.01,172.72,2,3
25,19.79384,270.24,114.65854476978288,143.6755,158.1615,160.224,163.89,116.04,3,3
30,19.221466666666664,259.9,137.8885720673198,177.54800000000003,185.8255,187.978,192.96000000000004,133.32,3,3
32,19.71003125,252.84375,156.22073068789427,205.5345,214.083,216.644,221.58,141.07999999999998,3,3
25,19.339160000000003,287.16,102.90180114883026,136.09449999999998,140.569,142.66700000000003,146.73,138.24,1,3
30,19.17448333333333,268.9,133.02669939778812,176.09650000000002,183.838,186.08700000000005,190.38,178.20000000000002,1,3
32,19.9359375,266.53125,149.43600715795247,190.9365,201.2605,203.2775,207.72,190.98,1,3
25,20.01362,267.72,116.53565951602847,145.65,158.86199999999997,160.756,164.52,132.58,2,3
30,19.72586666666667,267.6,138.3983459736473,183.64900000000003,192.4415,195.006,200.34,159.90000000000003,2,3
32,19.20428125,253.40625,150.44720550239435,194.6785,207.0235,209.898,213.93,176.57999999999998,2,3
25,19.40342,257.28,118.16562877026276,156.14649999999995,163.7655,165.683,169.8,121.83,3,3
30,20.314300000000003,268.1,139.06371178287137,174.51100000000002,188.723,190.603,197.01,134.55,3,3
32,19.7455625,269.34375,144.3645515294392,180.743,195.0165,196.9475,202.14,133.35000000000002,3,3
25,20.72754,256.08,125.60289516469156,165.0955,174.4895,177.29799999999997,180.45,166.82999999999998,1,3
30,19.609066666666667,252.6,145.12032369684337,187.7985,195.392,198.29800000000003,203.16,183.89,1,3
32,19.567265625,264.375,145.78332059310551,186.063,195.717,198.73900000000003,204.27,186.36,1,3
25,18.863274,262.08,110.65442977678988,142.31199999999998,146.6781,148.3312,152.31,132.38,2,3
30,20.16949,264.0,143.9324919088883,189.26675,200.171,203.001,207.78000000000003,171.41999999999996,2,3
32,20.23431875,259.21875,153.76144667436444,209.83125,217.435,220.65,226.02,170.65000000000003,2,3
25,19.60282,262.56,116.6799070085442,150.8745,157.869,159.825,163.29000000000002,123.45,3,3
30,19.392600000000005,271.4,134.66853878387542,168.944,179.323,181.766,186.72,116.7,3,3
32,19.921671875,259.21875,152.8936298941013,188.445,205.6455,207.817,212.64,148.8,3,3
25,20.228440000000003,255.6,123.2982479623093,159.275,166.542,168.601,172.86,160.41000000000005,1,3
30,19.99267,264.4,139.9693786084396,180.6754,190.774,192.612,197.67,184.14,1,3
32,19.504812500000003,271.59375,142.3103077999091,180.43,188.762,190.813,196.2,174.75,1,3
25,20.6429,275.64,116.15582932070612,146.506,158.95499999999998,160.608,164.37,124.35,2,3
30,19.26843333333333,265.6,134.65036534132182,181.67300000000003,188.8625,192.183,197.61000000000007,156.32999999999998,2,3
32,19.305390625,275.8125,138.81934915391628,180.944,194.8065,197.727,202.92,160.26,2,3
25,20.16408,268.68,115.4382461818183,148.72400000000002,156.29450000000003,157.915,161.79000000000002,116.82,3,3
30,20.141016666666665,279.2,133.64843321119992,165.865,181.2735,183.315,187.56000000000003,120.18,3,3
32,19.8889171875,262.6875,151.48743279496753,197.30900000000003,205.5496,207.7842,213.36,135.60000000000002,3,3
25,20.383154,248.4,127.60964203750116,167.2895,171.43859999999998,173.8662,178.47,165.93,1,3
30,20.382806666666667,272.4,140.90680586621653,179.12275,192.954,195.846,200.79,177.3,1,3
32,19.472171875,264.375,146.75324503535106,189.483,194.896,197.318,202.77,182.58,1,3
25,20.13072,276.6,112.95939794274082,144.4425,148.121,149.631,153.20999999999998,140.11,2,3
30,19.474066666666666,270.0,135.0604379472096,173.1395,180.373,182.683,186.96,158.46,2,3
32,19.542421875,272.90625,141.0217455868936,185.60450000000003,192.602,194.997,200.04,161.79,2,3
25,20.03784,252.24,123.18293240487546,156.567,161.7405,163.457,167.88,132.1,3,3
30,20.02125,272.8,137.21122258160574,171.3555,177.89749999999998,180.11300000000003,184.35,125.07,3,3
32,20.475078125,256.875,159.23127730242527,210.0565,215.689,218.01,222.93,137.89999999999998,3,3
25,19.84664,251.52,120.89646809121224,154.958,162.432,164.22000000000003,167.73000000000002,154.11,1,3
30,19.2067,263.1,138.2103425367111,175.54500000000002,184.08,186.30100000000004,190.71,167.66000000000005,1,3
32,19.4548390625,267.09375,145.37722277590842,190.9865,199.8201,202.3192,207.27,179.43,1,3
25,19.52424,278.28,106.95778465826814,134.8405,142.9895,144.672,148.17000000000002,134.43,2,3
30,20.76581666666667,270.5,143.33990819203203,180.03000000000003,193.9195,196.23200000000003,200.88,159.26999999999995,2,3
32,20.470821875,253.875,161.74659619582505,209.028,218.3898,220.80900000000003,227.13,186.08,2,3
25,18.97766,271.32,106.74401054261558,133.513,144.18650000000002,145.771,149.43,108.9,3,3
30,20.13436666666667,275.7,135.29848117823957,170.32950000000002,183.761,186.05300000000005,190.77,133.14999999999998,3,3
32,20.63275,267.84375,151.89350584329,200.5885,207.006,208.959,214.14,131.34,3,3
25,19.123194,270.12,109.6788637719612,141.6035,146.3416,147.8272,152.30999999999997,137.95,1,3
30,19.34713333333333,269.2,134.0112687190163,170.49824999999998,182.9953,186.119,192.15000000000003,176.70000000000002,1,3
32,20.915859375,254.4375,162.58467727572864,211.981,223.037,226.18400000000003,231.51,214.03,1,3
